,Borough,areaName,avg_rent,latitude,longitude
115,MANHATTAN,MIDTOWN,3546.666667,40.7587979,-73.9623427
116,MANHATTAN,MIDTOWN EAST,3230,40.7598219,-73.9724708
117,MANHATTAN,MIDTOWN SOUTH,3869.583333,40.7498417,-73.984251
118,MANHATTAN,MIDTOWN WEST,3297.833333,40.7644228,-73.9923918
119,BROOKLYN,MIDWOOD,1776.25,40.6188823,-73.9654889
120,BROOKLYN,MILL BASIN,2255.34805,40.6032495,-73.9068747
121,MANHATTAN,MORNINGSIDE HEIGHTS,3034.916667,40.81,-73.9625
122,BRONX,MORRIS HEIGHTS,1750,40.8498223,-73.919859
123,BRONX,MORRIS PARK,1746,40.8541355,-73.8606677
124,BRONX,MORRISANIA,1708.324444,40.8292672,-73.9065253
125,BRONX,MOTT HAVEN,2123.666667,40.8089897,-73.9229147
127,QUEENS,NEW HYDE PARK,1882.602617,40.7308451,-73.6805499
128,MANHATTAN,NOLITA,3055.333333,40.7229886,-73.994558
130,QUEENS,NORTH CORONA,1882.602617,40.754655,-73.864151
134,BRONX,NORWOOD,1546.5,40.8772593,-73.8768626
135,QUEENS,OAKLAND GARDENS,1882.602617,40.753991,-73.765966
136,BROOKLYN,OCEAN PARKWAY,2255.34805,40.576312,-73.968501
137,BROOKLYN,OLD MILL BASIN,2255.34805,40.6032495,-73.9068747
138,QUEENS,OZONE PARK,1882.602617,40.67677,-73.8437461
139,BROOKLYN,PARK SLOPE,2541.916667,40.6701033,-73.9859723
140,BRONX,PARKCHESTER,1708.324444,40.8332047,-73.8609723
141,BRONX,PELHAM BAY,1708.324444,40.8505556,-73.8333333
142,BRONX,PELHAM GARDENS,1708.324444,40.8584327,-73.8553395
143,BRONX,PELHAM PARKWAY,1665.5,40.8592334,-73.8550166
144,QUEENS,POMONOK,1882.602617,40.7324478,-73.80883094
145,BRONX,PORT MORRIS,1708.324444,40.8015147,-73.9095811
146,BROOKLYN,PROSPECT HEIGHTS,2652,40.6778708,-73.9684725
147,BROOKLYN,PROSPECT LEFFERTS GARDENS,1936,40.659227,-73.953629
149,BROOKLYN,PROSPECT PARK SOUTH,1883.166667,40.6617743,-73.97108903
151,QUEENS,QUEENS VILLAGE,1882.602617,40.7267692,-73.7415208
152,BROOKLYN,RED HOOK,2368.833333,40.6751032,-74.0095841
153,QUEENS,REGO PARK,1894.333333,40.72286495,-73.86210198
154,QUEENS,RICHMOND HILL,1882.602617,40.6994253,-73.8309672
155,QUEENS,RIDGEWOOD,1953.666667,40.7080556,-73.9141667
156,BRONX,RIVERDALE,1900.916667,40.90056,-73.90639
157,QUEENS,ROCKAWAY ALL,1661.083333,40.5815329,-73.8301104
158,MANHATTAN,ROOSEVELT ISLAND,2995.083333,40.7614177,-73.95022817
159,QUEENS,ROSEDALE,1882.602617,40.6620479,-73.7354097
160,BRONX,SCHUYLERVILLE,1708.324444,40.8288889,-73.8272222
161,BROOKLYN,SEAGATE,2255.34805,40.5760874,-74.0073152
162,BROOKLYN,SHEEPSHEAD BAY,1718.75,40.5912161,-73.9445822
163,MANHATTAN,SOHO,3624,40.72288,-73.9987505
164,BRONX,SOUNDVIEW,1708.324444,40.8294972,-73.8746243
166,QUEENS,SOUTH JAMAICA,1882.602617,40.680837,-73.790323
167,QUEENS,SOUTH OZONE PARK,1882.602617,40.6701035,-73.8190231
169,QUEENS,SOUTH RICHMOND HILL,1882.602617,40.6994253,-73.8309672
170,QUEENS,SPRINGFIELD GARDENS,1882.602617,40.678159,-73.746521
171,QUEENS,ST. ALBANS,1882.602617,40.6984364,-73.7606881
173,MANHATTAN,STUYVESANT TOWN/PCV,3601.090909,40.731728,-73.977681
174,QUEENS,SUNNYSIDE,1906.416667,40.7398242,-73.9354153
175,BROOKLYN,SUNSET PARK,1744.833333,40.644337,-74.007532
177,BRONX,THROGS NECK,1708.324444,40.8226008,-73.8195784
178,BRONX,TREMONT,1658.166667,40.8468963,-73.8997552
179,MANHATTAN,TRIBECA,5004.5,40.7153802,-74.0093063
180,BRONX,UNIVERSITY HEIGHTS,1614.8,40.8618406,-73.9135154
181,MANHATTAN,UPPER EAST SIDE,2881.583333,40.7737016,-73.9641196
182,MANHATTAN,UPPER WEST SIDE,3120,40.7870455,-73.9754163
183,QUEENS,UTOPIA,1882.602617,40.7273247,-73.7865221
184,BRONX,VAN NEST,1708.324444,40.8484336,-73.8637463
185,BRONX,WAKEFIELD,1708.324444,40.9061974,-73.8555114
186,MANHATTAN,WASHINGTON HEIGHTS,1865,40.8401984,-73.9402214
187,MANHATTAN,WEST HARLEM,2046.454545,40.8078786,-73.9454154
188,MANHATTAN,WEST VILLAGE,3699.083333,40.7341857,-74.00558
189,BRONX,WESTCHESTER VILLAGE,1708.324444,40.830954,-73.869524
190,QUEENS,WHITESTONE,1882.602617,40.7945457,-73.8184674
191,BRONX,WILLIAMSBRIDGE,1708.324444,40.87762425,-73.87752006
192,BROOKLYN,WILLIAMSBURG,3040.5,40.714622,-73.95345
193,BROOKLYN,WINDSOR TERRACE,2364.5,40.6557846,-73.9765441
194,QUEENS,WOODHAVEN,1736.5,40.6892698,-73.8579131
195,BRONX,WOODLAWN,1708.324444,40.8957527,-73.8624521
196,QUEENS,WOODSIDE,1789.5,40.7453798,-73.9054145
197,BRONX,WOODSTOCK,1708.324444,40.8466508,-73.8785937
